Period,Model,MAE,RMSE,R2,Mean Error,Std Dev Error,Theil's U
2023-07-31/2023-08-06,Model 1 - Kasten Model,50.06723756,77.93606595,-0.455739862,1.010523694,77.92951442,0.003093055
2023-07-31/2023-08-06,Model  2 - Balint et al. Model,49.87921014,76.56767171,-0.405069146,-1.252930121,76.55741974,0.004239788
2023-07-31/2023-08-06,Model 3  - Real World GHI,29.08990875,39.04042923,0.634711515,-2.538150751,38.95783497,0.133314349
2023-07-31/2023-08-06,Model 4 - Karamov Naumov,40.79124302,56.94487133,0.222829966,1.294715916,56.9301509,0.001025514
2023-07-31/2023-08-06,Model 5 - HDKR,37.88230062,52.15604225,0.348047325,-1.278407538,52.14037224,0.032571301
2023-08-07/2023-08-13,Model 1 - Kasten Model,46.36569541,60.85115378,0.397633683,-23.88333406,55.96828808,0.01828053
2023-08-07/2023-08-13,Model  2 - Balint et al. Model,47.56376043,61.99134047,0.374848757,-26.19360599,56.18559689,0.020928664
2023-08-07/2023-08-13,Model 3  - Real World GHI,33.05406895,42.81303884,0.701822304,-10.37808391,41.53614894,0.150298584
2023-08-07/2023-08-13,Model 4 - Karamov Naumov,32.0893277,44.12761807,0.683230021,-11.25734725,42.66753813,0.004654887
2023-08-07/2023-08-13,Model 5 - HDKR,37.10792284,49.80456875,0.596483394,-4.983509785,49.55461329,0.093457224
2023-08-14/2023-08-20,Model 1 - Kasten Model,38.06744765,61.36860915,0.259626161,10.54628472,60.45562065,0.008000338
2023-08-14/2023-08-20,Model  2 - Balint et al. Model,37.28937329,59.38463424,0.306723187,8.304130929,58.8011581,0.007686707
2023-08-14/2023-08-20,Model 3  - Real World GHI,20.49057427,28.7976077,0.836968575,-0.299397032,28.7960513,0.011337442
2023-08-14/2023-08-20,Model 4 - Karamov Naumov,31.50044785,41.43749788,0.662444219,-3.015621465,41.327621,0.009072537
2023-08-14/2023-08-20,Model 5 - HDKR,33.87771178,46.07500683,0.582660665,-14.43550266,43.75525703,0.008353513
2023-08-21/2023-08-27,Model 1 - Kasten Model,44.66472246,58.94222247,0.325865956,-16.21596223,56.66769943,0.001030738
2023-08-21/2023-08-27,Model  2 - Balint et al. Model,45.12318792,59.42881969,0.314689392,-18.44521082,56.49388292,0.001043213
2023-08-21/2023-08-27,Model 3  - Real World GHI,26.1015153,33.74375119,0.779057143,-5.175754882,33.3444494,0.002652644
2023-08-21/2023-08-27,Model 4 - Karamov Naumov,28.32573499,37.74718865,0.723520797,-11.24741521,36.03256724,0.000847777
2023-08-21/2023-08-27,Model 5 - HDKR,36.34935459,47.90246031,0.554744919,-4.78945946,47.66242526,0.001481165
2023-08-28/2023-09-03,Model 1 - Kasten Model,47.06993435,67.02953562,-0.146204584,9.695026587,66.32469453,0.061670395
2023-08-28/2023-09-03,Model  2 - Balint et al. Model,46.6468117,65.58076037,-0.097191957,7.791134753,65.11631401,0.065828726
2023-08-28/2023-09-03,Model 3  - Real World GHI,26.68129115,34.14145801,0.702632263,1.173650003,34.1212793,0.116792116
2023-08-28/2023-09-03,Model 4 - Karamov Naumov,29.53951232,38.54634688,0.620950288,-6.165691549,38.05003424,0.014391974
2023-08-28/2023-09-03,Model 5 - HDKR,33.85610632,45.61732415,0.469128595,-9.253271695,44.66897386,0.064773206
2023-09-04/2023-09-10,Model 1 - Kasten Model,58.25062201,74.12710284,0.03325202,-29.94433523,67.80976451,0.01331005
2023-09-04/2023-09-10,Model  2 - Balint et al. Model,58.64826868,74.67832926,0.018820635,-31.6868144,67.62247152,0.014662836
2023-09-04/2023-09-10,Model 3  - Real World GHI,29.9912276,37.15797722,0.757079958,-15.43025743,33.80269851,0.097642242
2023-09-04/2023-09-10,Model 4 - Karamov Naumov,38.95459569,51.44294395,0.534402276,-35.96249757,36.7841712,0.004758065
2023-09-04/2023-09-10,Model 5 - HDKR,49.00693653,64.09773877,0.277155905,-44.51455542,46.11913346,0.042223033
2023-09-11/2023-09-17,Model 1 - Kasten Model,49.83146375,77.95632891,-0.45183502,0.186045998,77.9561069,0.022342952
2023-09-11/2023-09-17,Model  2 - Balint et al. Model,49.48536563,77.11749915,-0.420758896,-1.177594795,77.10850761,0.023070136
2023-09-11/2023-09-17,Model 3  - Real World GHI,38.04114653,50.75329069,0.384620647,0.090160748,50.75321061,0.035402788
2023-09-11/2023-09-17,Model 4 - Karamov Naumov,40.97551208,55.80962301,0.255897631,-13.27176887,54.20861713,0.011396522
2023-09-11/2023-09-17,Model 5 - HDKR,42.31303527,55.03828139,0.276323887,-7.152944665,54.57149257,0.025181637
2023-09-18/2023-09-24,Model 1 - Kasten Model,43.49490602,59.01998055,0.045379053,-35.04235346,47.49096301,0.000275438
2023-09-18/2023-09-24,Model  2 - Balint et al. Model,43.83268204,59.42965779,0.032080377,-35.87727576,47.37832108,0.000274972
2023-09-18/2023-09-24,Model 3  - Real World GHI,34.13510744,45.55359729,0.431306595,-20.51854875,40.67086651,0.000704209
2023-09-18/2023-09-24,Model 4 - Karamov Naumov,41.28739963,58.40274035,0.065241794,-32.90597547,48.25014879,0.000249111
2023-09-18/2023-09-24,Model 5 - HDKR,38.08667362,51.52993768,0.272300511,-28.81653659,42.71933632,0.000420457
2023-09-25/2023-10-01,Model 1 - Kasten Model,38.77385005,52.88248804,0.208395479,-23.42683073,47.41034849,0.045047443
2023-09-25/2023-10-01,Model  2 - Balint et al. Model,39.01786519,53.13047542,0.200953763,-24.40630653,47.19300393,0.044962746
2023-09-25/2023-10-01,Model 3  - Real World GHI,33.94115245,43.06961058,0.474918888,-8.952100159,42.12898359,0.086166729
2023-09-25/2023-10-01,Model 4 - Karamov Naumov,36.63586261,52.43922071,0.221610508,-27.59850733,44.58917202,0.034548284
2023-09-25/2023-10-01,Model 5 - HDKR,40.68290672,53.06488071,0.202925545,-17.60820452,50.058293,0.070076715
2023-10-02/2023-10-08,Model 1 - Kasten Model,74.23815024,95.11213103,-1.483348228,-60.366472,73.49970426,0.034129668
2023-10-02/2023-10-08,Model  2 - Balint et al. Model,74.12653826,95.00772853,-1.477899387,-60.58436215,73.18472207,0.033215781
2023-10-02/2023-10-08,Model 3  - Real World GHI,75.30766716,95.52019657,-1.504702869,-50.08658299,81.33536843,0.059933214
2023-10-02/2023-10-08,Model 4 - Karamov Naumov,74.64089182,95.71494101,-1.514926345,-61.36650363,73.45408201,0.04161977
2023-10-02/2023-10-08,Model 5 - HDKR,76.49985605,96.5609357,-1.559580126,-56.380875,78.39139772,0.053206814
2023-10-09/2023-10-15,Model 1 - Kasten Model,29.84450899,42.18950176,0.469614564,-27.34459678,32.12829106,6.36E-05
2023-10-09/2023-10-15,Model  2 - Balint et al. Model,30.20672243,42.7991916,0.454174364,-27.84829817,32.4998937,7.68E-05
2023-10-09/2023-10-15,Model 3  - Real World GHI,19.81448517,28.80783449,0.752711441,-13.47754679,25.46069639,0.000108687
2023-10-09/2023-10-15,Model 4 - Karamov Naumov,33.98208601,46.09439877,0.366890097,-33.37719245,31.79082607,5.71E-05
2023-10-09/2023-10-15,Model 5 - HDKR,27.54319934,40.03024245,0.522515544,-21.12596614,34.00167444,5.15E-05
2023-10-16/2023-10-22,Model 1 - Kasten Model,39.24467015,50.28368742,-0.069887766,-32.2889404,38.54703034,0.064915513
2023-10-16/2023-10-22,Model  2 - Balint et al. Model,39.66940774,50.7770456,-0.090985158,-32.78124651,38.77754811,0.073617626
2023-10-16/2023-10-22,Model 3  - Real World GHI,31.21790283,40.38848701,0.30976154,-17.35631933,36.46900139,0.742740115
2023-10-16/2023-10-22,Model 4 - Karamov Naumov,34.6029873,48.55731841,0.002315156,-32.48780195,36.08816837,0.0079559
2023-10-16/2023-10-22,Model 5 - HDKR,36.59849438,47.75534938,0.034998388,-18.48639526,44.03210856,0.417998049
2023-10-23/2023-10-29,Model 1 - Kasten Model,43.38517151,55.03335054,-0.457662198,-27.36440116,47.74787138,0.439823991
2023-10-23/2023-10-29,Model  2 - Balint et al. Model,43.62829468,55.33557835,-0.473716307,-27.74973221,47.87461324,0.454295183
2023-10-23/2023-10-29,Model 3  - Real World GHI,34.12582481,42.42660986,0.133673412,-9.358196832,41.38165507,0.683680221
2023-10-23/2023-10-29,Model 4 - Karamov Naumov,38.5690791,50.17913814,-0.211857006,-30.90639397,39.53151548,0.143651239
2023-10-23/2023-10-29,Model 5 - HDKR,38.47733181,48.15473061,-0.116048062,-15.86653124,45.46571529,0.428308581
2023-10-30/2023-11-05,Model 1 - Kasten Model,29.61456703,41.76409124,0.061777195,-24.42975199,33.87368499,0.184866383
2023-10-30/2023-11-05,Model  2 - Balint et al. Model,29.74986042,41.98736662,0.051718697,-24.43919101,34.14183502,0.184998549
2023-10-30/2023-11-05,Model 3  - Real World GHI,23.36767075,30.60662082,0.496115871,-9.714180234,29.02412687,0.602776441
2023-10-30/2023-11-05,Model 4 - Karamov Naumov,33.5588824,45.53351847,-0.115224583,-31.86839393,32.52240416,0.159700523
2023-10-30/2023-11-05,Model 5 - HDKR,25.96910594,35.31577759,0.329131409,-19.65974813,29.33766265,0.388196614
2023-11-06/2023-11-12,Model 1 - Kasten Model,28.06789234,39.30278438,0.259396548,-25.56348925,29.85325572,0.002822304
2023-11-06/2023-11-12,Model  2 - Balint et al. Model,28.0978823,39.4014363,0.25567398,-25.47251012,30.06034615,0.002769333
2023-11-06/2023-11-12,Model 3  - Real World GHI,27.620614,36.06209319,0.376493541,-14.57924731,32.98363402,0.013741598
2023-11-06/2023-11-12,Model 4 - Karamov Naumov,35.32403444,49.15310066,-0.158353013,-35.27543413,34.22968085,0.003140244
2023-11-06/2023-11-12,Model 5 - HDKR,30.25417614,43.05243425,0.111342279,-23.79837441,35.87686538,0.010562724
2023-11-13/2023-11-19,Model 1 - Kasten Model,21.49576669,31.73170061,0.112307025,-18.83573519,25.53656013,0.020926484
2023-11-13/2023-11-19,Model  2 - Balint et al. Model,21.4762667,31.83310982,0.106624122,-18.7307543,25.73918654,0.024168495
2023-11-13/2023-11-19,Model 3  - Real World GHI,15.5320606,21.88250795,0.577846614,-5.808961224,21.09739614,0.00772758
2023-11-13/2023-11-19,Model 4 - Karamov Naumov,26.08673281,35.88263395,-0.135127686,-24.57619844,26.14524601,0.002101324
2023-11-13/2023-11-19,Model 5 - HDKR,19.16636276,27.93147145,0.312197552,-14.57895916,23.82479899,0.002661109
2023-11-20/2023-11-26,Model 1 - Kasten Model,17.92935526,25.87055239,0.45113325,-16.67259961,19.78155462,0.14848544
2023-11-20/2023-11-26,Model  2 - Balint et al. Model,17.73048904,25.69186479,0.458689098,-16.41707006,19.76238161,0.172698491
2023-11-20/2023-11-26,Model 3  - Real World GHI,16.54832568,23.45680419,0.548774948,-10.07138159,21.18463914,0.049518398
2023-11-20/2023-11-26,Model 4 - Karamov Naumov,25.81203356,37.54455269,-0.155977517,-25.16341388,27.86388412,0.006340369
2023-11-20/2023-11-26,Model 5 - HDKR,21.61977,31.07570941,0.208050257,-16.68116143,26.21904973,0.012952264
